volumeId	imgSeq	imgUrl
V1GS66030_I1GS66239	49	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390049.tif/full/max/0/default.png
V1GS66030_I1GS66239	50	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390050.tif/full/max/0/default.png
V1GS66030_I1GS66239	51	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390051.tif/full/max/0/default.png
V1GS66030_I1GS66239	52	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390052.tif/full/max/0/default.png
V1GS66030_I1GS66239	53	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390053.tif/full/max/0/default.png
V1GS66030_I1GS66239	54	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390054.tif/full/max/0/default.png
V1GS66030_I1GS66239	55	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390055.tif/full/max/0/default.png
V1GS66030_I1GS66239	56	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390056.tif/full/max/0/default.png
V1GS66030_I1GS66239	57	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390057.tif/full/max/0/default.png
V1GS66030_I1GS66239	58	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390058.tif/full/max/0/default.png
V1GS66030_I1GS66239	59	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390059.tif/full/max/0/default.png
V1GS66030_I1GS66239	60	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390060.tif/full/max/0/default.png
V1GS66030_I1GS66239	61	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390061.tif/full/max/0/default.png
V1GS66030_I1GS66239	62	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390062.tif/full/max/0/default.png
V1GS66030_I1GS66239	63	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390063.tif/full/max/0/default.png
V1GS66030_I1GS66239	64	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390064.tif/full/max/0/default.png
V1GS66030_I1GS66239	65	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390065.tif/full/max/0/default.png
V1GS66030_I1GS66239	66	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390066.tif/full/max/0/default.png
V1GS66030_I1GS66239	67	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390067.tif/full/max/0/default.png
V1GS66030_I1GS66239	68	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390068.tif/full/max/0/default.png
V1GS66030_I1GS66239	69	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390069.tif/full/max/0/default.png
V1GS66030_I1GS66239	70	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390070.tif/full/max/0/default.png
V1GS66030_I1GS66239	71	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390071.tif/full/max/0/default.png
V1GS66030_I1GS66239	72	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390072.tif/full/max/0/default.png
V1GS66030_I1GS66239	73	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390073.tif/full/max/0/default.png
V1GS66030_I1GS66239	74	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390074.tif/full/max/0/default.png
V1GS66030_I1GS66239	75	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390075.tif/full/max/0/default.png
V1GS66030_I1GS66239	76	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390076.tif/full/max/0/default.png
V1GS66030_I1GS66239	77	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390077.tif/full/max/0/default.png
V1GS66030_I1GS66239	78	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390078.tif/full/max/0/default.png
V1GS66030_I1GS66239	79	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390079.tif/full/max/0/default.png
V1GS66030_I1GS66239	80	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390080.tif/full/max/0/default.png
V1GS66030_I1GS66239	81	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390081.tif/full/max/0/default.png
V1GS66030_I1GS66239	82	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390082.tif/full/max/0/default.png
V1GS66030_I1GS66239	83	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390083.tif/full/max/0/default.png
V1GS66030_I1GS66239	84	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390084.tif/full/max/0/default.png
V1GS66030_I1GS66239	85	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390085.tif/full/max/0/default.png
V1GS66030_I1GS66239	86	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390086.tif/full/max/0/default.png
V1GS66030_I1GS66239	87	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390087.tif/full/max/0/default.png
V1GS66030_I1GS66239	88	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390088.tif/full/max/0/default.png
V1GS66030_I1GS66239	89	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390089.tif/full/max/0/default.png
V1GS66030_I1GS66239	90	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390090.tif/full/max/0/default.png
V1GS66030_I1GS66239	91	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390091.tif/full/max/0/default.png
V1GS66030_I1GS66239	92	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390092.tif/full/max/0/default.png
V1GS66030_I1GS66239	93	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390093.tif/full/max/0/default.png
V1GS66030_I1GS66239	94	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390094.tif/full/max/0/default.png
